artist	main_genre
292693	electronic
354554	electronic
1289367	latin
3767890	rock
3808319	rock
624227	rock
2724909	electronic
33511	alternative
1355153	rock
2384408	reggae
5131454	electronic
39828	electronic
99331	electronic
184945	pop
514256	pop
2073955	classical
1704532	electronic
315617	jazz
1765726	rock
597455	hip-hop/rap
1790624	rock
1228544	hip-hop/rap
3550842	alternative
390725	pop
80591	rock
2004330	electronic
764339	rock
303142	pop
23294	electronic
474677	classical
2257200	rock
135667	rock
4251000	electronic
363517	hip-hop/rap
78315	rock
929080	classical
138633	hip-hop/rap
1489218	r&b/soul
710817	pop
3098454	electronic
1960353	classical
206743	electronic
11856	hip-hop/rap
662904	rock
2318247	electronic
10442	classical
26847	rock
53211	pop
8709	pop
575538	latin
401217	rock
209055	rock
3987783	alternative
322825	hip-hop/rap
541409	classical
92535	rock
1010645	electronic
104431	latin
1400968	electronic
1675593	electronic
1284012	rock
2829325	electronic
1978327	electronic
3559634	rock
489123	rock
689715	alternative
303763	hip-hop/rap
122920	pop
708331	rock
1621833	country
887499	rock
517922	electronic
1655948	hip-hop/rap
1507549	jazz
1061450	rock
498551	alternative
1812655	electronic
2940857	r&b/soul
907960	alternative
708804	electronic
440167	rock
141204	hip-hop/rap
2237531	rock
86301	classical
375204	reggae
1472484	pop
283331	rock
759	country
1643917	electronic
1328359	electronic
185552	r&b/soul
228553	rock
853102	rock
2918675	classical
182232	pop
2217852	hip-hop/rap
2233386	classical
3237627	rock
398694	pop
1464240	rock
1181002	jazz
1580287	country
619473	pop
181632	classical
2282031	electronic
1952818	rock
122656	pop
1624894	jazz
2250759	alternative
2403345	hip-hop/rap
1877464	hip-hop/rap
291208	alternative
1462761	latin
865440	pop
2632031	reggae
2408622	electronic
670943	pop
2099138	classical
782885	rock
5005249	rock
2068850	rock
3403200	hip-hop/rap
977832	pop
61290	alternative
3058884	hip-hop/rap
374945	pop
2736743	rock
2829190	jazz
996402	country
416004	country
2802618	electronic
593034	hip-hop/rap
485923	hip-hop/rap
459306	rock
1135423	jazz
276009	rock
45194	pop
412983	r&b/soul
1209668	rock
58050	pop
1071545	rock
979390	hip-hop/rap
423617	rock
